呼儿将出换美酒，与尔同销万古愁。#——  苏轼《赤壁怀古》

生亦何欢，死亦何苦。#——  曹操《对海上客》

浮生若梦，为欢几何。#——  李白《春夜宴从弟桃花园序》

兵者，国之大事，死生之地，存亡之道，不可不察也。#——  孙子《孙子兵法》

曲终人散、黄粱一梦，该醒了！#——  《Minecraft-终末之诗》

记住，神不会流血，但你会！#——  Herobrine

只有打败我的人，才能得到我的尊重。#——  实体303

你心中的恐惧，便是我最大的快乐。#——  恐惧魔王

是呀......我也，想和你一直在一起呀。#——  一方通行 《魔法禁书目录》

即使与世界为敌,我也会保护她和她所在的世界。#——  上条当麻《魔法禁书目录》

这不是交涉,不是提案,不是恳求,不是协定,不是妥协,也不是降服。这是凯旋,混蛋们!#——  一方通行 《魔法禁书目录》

天明明是这么的蓝，前途却是一片黑暗。#——  《魔法禁书目录》

即便我弱了，也并不代表你强了。#——  一方通行 《魔法禁书目录》

不好意思，这前方可是一方通行！乖乖得夹着尾巴回到原点吧！#——  一方通行 《魔法禁书目录》

除了[我]以外的任何词语，都无法形容我这个人#——  一方通行 《魔法禁书目录》

你那无聊的幻想就由我来终结吧#——  上条当麻《魔法禁书目录》

神啊，如果这个世界是根据你所创造的奇迹在进行的话，那我就 把这个幻想完全粉碎！#——  上条当麻《魔法禁书目录》

天行健，君子以自强不息；地势坤，君子以厚德载物。#——  《周易》

我们生来就是为了活下去#——  《东京喰种》

当你掌握知识的力量时，就能战胜任何事#——  上条当麻《魔法禁书目录》
